BDU,VEDAS
BDU:2014-00005,-6.000000000172534e-07
BDU:2014-00006,0.0
BDU:2014-00008,0.0
BDU:2014-00003,0.0
BDU:2014-00011,-2.2000000000077513e-06
BDU:2015-00032,-2.1000000000048757e-06
BDU:2015-00016,-2.2000000000077513e-06
BDU:2015-00024,-2.2000000000077513e-06
BDU:2015-00022,-1.3999999999292356e-06
BDU:2015-00028,-2.19999999995224e-06
BDU:2015-00017,-2.2000000000077513e-06
BDU:2015-00027,-2.19999999995224e-06
BDU:2015-00020,-2.1999999999799957e-06
BDU:2015-00029,-5.0999999999801204e-06
BDU:2015-00031,-2.1000000000048757e-06
BDU:2015-00023,-2.2000000000077513e-06
BDU:2015-00033,-2.1000000000048757e-06
BDU:2015-00030,-5.0999999999801204e-06
BDU:2015-00035,-2.1000000000048757e-06
BDU:2015-00026,-1.600000000046009e-06
BDU:2014-00009,0.0
BDU:2014-00201,0.0
BDU:2014-00018,-3.000000000086267e-07
BDU:2014-00425,-5.200000000010752e-06
BDU:2015-00036,-2.1000000000048757e-06
BDU:2014-00213,0.0
BDU:2015-00025,-1.600000000046009e-06
BDU:2015-00037,-2.2000000000077513e-06
BDU:2014-00004,0.0
BDU:2014-00002,0.0
BDU:2015-00038,-2.2000000000077513e-06
BDU:2015-00018,-2.1000000000048757e-06
BDU:2015-00019,-2.1999999999799957e-06
BDU:2015-00034,-2.1000000000048757e-06
BDU:2014-00015,0.0
BDU:2014-00001,-4.0000000001150227e-07
BDU:2014-00017,0.0
BDU:2015-00039,-2.2000000000077513e-06
BDU:2014-00020,-3.9999999990047996e-07
BDU:2014-00007,-2.2000000000077513e-06
BDU:2014-00012,-2.2000000000077513e-06
BDU:2014-00209,-6.000000000172534e-07
BDU:2014-00205,0.0
BDU:2014-00210,0.0
BDU:2014-00206,0.0
BDU:2014-00207,2.0999999999493646e-06
BDU:2014-00204,0.0
BDU:2015-00041,0.0
BDU:2015-00042,0.0
BDU:2014-00010,0.0
BDU:2014-00208,0.0
BDU:2014-00102,-6.069999999996911e-05
BDU:2014-00022,-4.999999999588667e-07
BDU:2014-00481,-2.1000000000048757e-06
BDU:2014-00441,-2.1000000000048757e-06
BDU:2014-00212,0.0
BDU:2014-00013,-2.2000000000077513e-06
BDU:2014-00216,4.999999999588667e-07
BDU:2014-00211,0.0
BDU:2015-00021,-1.3999999999292356e-06
BDU:2014-00014,0.0
BDU:2014-00203,0.0
BDU:2014-00103,-2.2000000000077513e-06
BDU:2014-00021,-9.000000000813912e-07
BDU:2014-00019,-2.2000000000077513e-06
BDU:2014-00036,0.0
BDU:2014-00025,0.0
BDU:2014-00039,0.0
BDU:2014-00105,-2.2000000000077513e-06
BDU:2014-00101,-6.069999999996911e-05
BDU:2014-00104,0.0
BDU:2014-00218,0.0
BDU:2014-00038,0.0
BDU:2014-00220,0.0
BDU:2014-00029,0.0
BDU:2014-00221,6.000000000172534e-07
BDU:2014-00023,-4.999999999588667e-07
BDU:2014-00016,0.0
BDU:2014-00028,0.0
BDU:2014-00024,0.0
BDU:2015-00106,0.0
BDU:2015-00043,0.0
BDU:2015-00040,-2.2000000000077513e-06
BDU:2014-00202,0.0
BDU:2014-00026,0.0
BDU:2014-00037,0.0
BDU:2014-00034,0.0
BDU:2014-00027,0.0
BDU:2015-00045,-2.2000000000077513e-06
BDU:2014-00219,-4.0000000001150227e-07
BDU:2014-00106,0.0
BDU:2014-00030,0.0
BDU:2014-00045,0.0
BDU:2014-00043,0.0
BDU:2014-00109,0.0
BDU:2015-00047,-2.09999999997712e-06
BDU:2014-00215,3.400000000042258e-06
BDU:2014-00107,6.000000000172534e-07
BDU:2014-00400,0.0
BDU:2014-00035,0.0
BDU:2014-00031,0.0
BDU:2014-00032,0.0
BDU:2014-00222,6.000000000172534e-07
BDU:2014-00214,0.0
BDU:2014-00040,0.0
BDU:2014-00059,0.0
BDU:2014-00033,0.0
BDU:2014-00050,0.0
BDU:2015-00115,0.0
BDU:2015-00044,0.0
BDU:2015-00046,-1.5000000000986446e-06
BDU:2014-00041,-2.1999999999799957e-06
BDU:2014-00110,-6.060000000002175e-05
BDU:2014-00111,-6.060000000002175e-05
BDU:2014-00226,0.0
BDU:2014-00108,0.0
BDU:2015-00048,-2.1000000000048757e-06
BDU:2014-00057,0.0
BDU:2014-00225,0.0
BDU:2014-00054,-6.060000000002175e-05
BDU:2014-00047,0.0
BDU:2014-00051,0.0
BDU:2014-00232,0.0
BDU:2014-00217,-3.000000000086267e-07
BDU:2014-00058,0.0
BDU:2014-00295,0.0
BDU:2014-00113,0.0
BDU:2015-00053,0.0
BDU:2014-00224,0.0
BDU:2014-00052,-6.060000000002175e-05
BDU:2014-00227,0.0
BDU:2014-00294,0.0
BDU:2014-00056,0.0
BDU:2014-00053,-6.060000000002175e-05
BDU:2014-00061,-2.1000000000048757e-06
BDU:2014-00049,0.0
BDU:2015-00051,0.0
BDU:2014-00228,0.0
BDU:2015-00059,0.0
BDU:2014-00112,0.0
BDU:2014-00055,-6.060000000002175e-05
BDU:2014-00046,0.0
BDU:2014-00114,0.0
BDU:2014-00042,0.0
BDU:2014-00230,0.0
BDU:2015-00052,0.0
BDU:2014-00071,-6.0599999999966236e-05
BDU:2014-00068,-2.2000000000077513e-06
BDU:2014-00231,0.0
BDU:2014-00066,-2.09999999997712e-06
BDU:2014-00062,-6.060000000002175e-05
BDU:2014-00235,0.0
BDU:2014-00240,0.0
BDU:2014-00060,-6.060000000002175e-05
BDU:2014-00239,0.0
BDU:2014-00229,0.0
BDU:2014-00118,0.0
BDU:2014-00067,0.0
BDU:2014-00048,0.0
BDU:2014-00069,-1.4999999999876223e-06
BDU:2015-00060,0.0
BDU:2015-00054,0.0
BDU:2014-00236,0.0
BDU:2014-00080,-6.060000000002175e-05
BDU:2015-00056,0.0
BDU:2014-00077,-6.069999999996911e-05
BDU:2014-00119,0.0
BDU:2014-00063,0.0
BDU:2014-00076,-6.060000000002175e-05
BDU:2015-00057,0.0
BDU:2014-00117,-2.1000000000048757e-06
BDU:2014-00065,0.0
BDU:2014-00074,-6.0599999999966236e-05
BDU:2014-00116,-2.1999999999799957e-06
BDU:2014-00120,0.0
BDU:2014-00237,0.0
BDU:2014-00246,0.0
BDU:2015-00049,0.0
BDU:2014-00122,0.0
BDU:2014-00123,0.0
BDU:2014-00064,-6.060000000002175e-05
BDU:2014-00072,-6.069999999996911e-05
