CNNVD,VEDAS
CNNVD-202507-791,0.1746345
CNNVD-202507-790,0.1746058
CNNVD-202507-789,0.1876712
CNNVD-202507-788,0.1876999
CNNVD-202507-787,0.1746058
CNNVD-202507-786,0.1876999
CNNVD-202507-785,0.1746001
CNNVD-202507-784,0.1746115
CNNVD-202507-783,0.1876655
CNNVD-202507-782,0.1746115
CNNVD-202507-781,0.1783811
CNNVD-202507-780,0.3357349
CNNVD-202507-779,0.1746115
CNNVD-202507-778,0.1746115
CNNVD-202507-777,0.1746345
CNNVD-202507-776,0.5640828
CNNVD-202507-775,0.3313855
CNNVD-202507-774,0.189287
CNNVD-202507-773,0.1892669
CNNVD-202507-772,0.1892669
CNNVD-202507-771,0.5598324
CNNVD-202507-770,0.189287
CNNVD-202507-769,0.1729814
CNNVD-202507-768,0.1745972
CNNVD-202507-767,0.1892669
CNNVD-202507-766,0.1746115
CNNVD-202507-765,0.189287
CNNVD-202507-764,0.1746058
CNNVD-202507-763,0.5598324
CNNVD-202507-762,0.3393426
CNNVD-202507-761,0.1780957
CNNVD-202507-760,0.187654
CNNVD-202507-759,0.5581119
CNNVD-202507-758,0.1746058
CNNVD-202507-757,0.1876511
CNNVD-202507-756,0.1892583
CNNVD-202507-755,0.1876138
CNNVD-202507-754,0.1876483
CNNVD-202507-753,0.1876598
CNNVD-202507-752,0.1876655
CNNVD-202507-751,0.1735137
CNNVD-202507-750,0.1877545
CNNVD-202507-749,0.1876511
CNNVD-202507-748,0.1735137
CNNVD-202507-747,0.1746058
CNNVD-202507-746,0.1719066
CNNVD-202507-745,0.1745972
CNNVD-202507-744,0.1745825
CNNVD-202507-743,0.3317551
CNNVD-202507-742,0.3334928
CNNVD-202507-741,0.1745825
CNNVD-202507-740,0.3333683
CNNVD-202507-739,0.1892669
CNNVD-202507-738,0.1892669
CNNVD-202507-737,0.3333663
CNNVD-202507-736,0.3333663
CNNVD-202507-735,0.3333663
CNNVD-202507-734,0.1876109
CNNVD-202507-733,0.187631
CNNVD-202507-732,0.4317475
CNNVD-202507-731,0.4317475
CNNVD-202507-730,0.1876885
CNNVD-202507-729,0.1745972
CNNVD-202507-728,0.4317475
CNNVD-202507-727,0.1745972
CNNVD-202507-726,0.1745972
CNNVD-202507-725,0.1892669
CNNVD-202507-724,0.3367466
CNNVD-202507-723,0.3367466
CNNVD-202507-722,0.3333924
CNNVD-202507-721,0.3367466
CNNVD-202507-720,0.1729876
CNNVD-202507-719,0.1892669
CNNVD-202507-718,0.2720426
CNNVD-202507-717,0.1757748
CNNVD-202507-716,0.5080868
CNNVD-202507-715,0.2887509
CNNVD-202507-714,0.1893071
CNNVD-202507-713,0.1719444
CNNVD-202507-712,0.1876253
CNNVD-202507-711,0.18931
CNNVD-202507-710,0.1719566
CNNVD-202507-709,0.5089602
CNNVD-202507-708,0.2704153
CNNVD-202507-707,0.6549464
CNNVD-202507-706,0.6549464
CNNVD-202507-705,0.6530714
CNNVD-202507-704,0.1745972
CNNVD-202507-703,0.6530714
CNNVD-202507-702,0.6530714
CNNVD-202507-701,0.6530714
CNNVD-202507-700,0.6530714
CNNVD-202507-699,0.6530714
CNNVD-202507-698,0.6530714
CNNVD-202507-697,0.6530714
CNNVD-202507-696,0.6530714
CNNVD-202507-695,0.6530714
CNNVD-202507-694,0.6530714
CNNVD-202507-693,0.6530714
CNNVD-202507-692,0.6530714
CNNVD-202507-691,0.6530714
CNNVD-202507-690,0.6530714
CNNVD-202507-689,0.1876569
CNNVD-202507-688,0.1740123
CNNVD-202507-687,0.1876913
CNNVD-202507-686,0.1876913
CNNVD-202507-685,0.1892784
CNNVD-202507-684,0.1719848
CNNVD-202507-683,0.6599464
CNNVD-202507-682,0.1876569
CNNVD-202507-681,0.1745972
CNNVD-202507-680,0.5574804
CNNVD-202507-679,0.1745972
CNNVD-202507-678,0.1745972
CNNVD-202507-677,0.1892784
CNNVD-202507-676,0.1777467
CNNVD-202507-675,0.1876655
CNNVD-202507-674,0.1745972
CNNVD-202507-673,0.1876569
CNNVD-202507-672,0.1876655
CNNVD-202507-671,0.1745972
CNNVD-202507-670,0.1746001
CNNVD-202507-669,0.5581119
CNNVD-202507-668,0.5581119
CNNVD-202507-667,0.1745968
CNNVD-202507-666,0.1878635
CNNVD-202507-665,0.5581119
CNNVD-202507-664,0.5581119
CNNVD-202507-663,0.5589238
CNNVD-202507-662,0.5576952
CNNVD-202507-661,0.1882882
CNNVD-202507-660,0.5574804
CNNVD-202507-659,0.1729876
CNNVD-202507-658,0.5574804
CNNVD-202507-657,0.1730762
CNNVD-202507-656,0.5589238
CNNVD-202507-655,0.5588554
CNNVD-202507-654,0.1729843
CNNVD-202507-653,0.1729843
CNNVD-202507-652,0.1859866
CNNVD-202507-651,0.1729876
CNNVD-202507-650,0.6578571
CNNVD-202507-649,0.1729843
CNNVD-202507-648,0.1859866
CNNVD-202507-647,0.1714261
CNNVD-202507-646,0.1859952
CNNVD-202507-645,0.6578571
CNNVD-202507-644,0.1876942
CNNVD-202507-643,0.1859866
CNNVD-202507-642,0.1859866
CNNVD-202507-641,0.1876511
CNNVD-202507-640,0.1859866
CNNVD-202507-639,0.1859952
CNNVD-202507-638,0.1876741
CNNVD-202507-637,0.1876741
CNNVD-202507-636,0.1859866
CNNVD-202507-635,0.1729843
CNNVD-202507-634,0.1729843
CNNVD-202507-633,0.6578571
CNNVD-202507-632,0.1859866
CNNVD-202507-631,0.1860182
CNNVD-202507-630,0.1876081
CNNVD-202507-629,0.1860182
CNNVD-202507-628,0.6578571
CNNVD-202507-627,0.1860182
CNNVD-202507-626,0.1729936
CNNVD-202507-625,0.1860182
CNNVD-202507-624,0.1860182
CNNVD-202507-623,0.1859866
CNNVD-202507-622,0.3340359
CNNVD-202507-621,0.1859866
CNNVD-202507-620,0.1860182
CNNVD-202507-619,0.1875938
CNNVD-202507-618,0.1859923
CNNVD-202507-617,0.1860211
CNNVD-202507-616,0.1859866
CNNVD-202507-614,0.1876827
CNNVD-202507-613,0.1895682
CNNVD-202507-612,0.1894075
CNNVD-202507-611,0.6821794
CNNVD-202507-610,0.1714934
CNNVD-202507-609,0.1714934
CNNVD-202507-608,0.6578571
CNNVD-202507-607,0.1892324
CNNVD-202507-606,0.1714934
CNNVD-202507-605,0.1714934
CNNVD-202507-604,0.1714934
CNNVD-202507-603,0.1714934
CNNVD-202507-602,0.1714934
CNNVD-202507-601,0.1714934
CNNVD-202507-600,0.1714934
CNNVD-202507-599,0.1714934
CNNVD-202507-598,0.1714934
CNNVD-202507-597,0.1719977
CNNVD-202507-596,0.1719977
CNNVD-202507-595,0.1885236
CNNVD-202507-594,0.1736049
CNNVD-202507-593,0.1849841
CNNVD-202507-592,0.1892353
CNNVD-202507-591,0.1711051
CNNVD-202507-590,0.1876052
CNNVD-202507-589,0.1729441
CNNVD-202507-588,0.1713764
CNNVD-202507-587,0.1729556
CNNVD-202507-586,0.1729527
CNNVD-202507-579,0.1808868
CNNVD-202507-566,0.1903211
CNNVD-202507-524,0.1860612
CNNVD-202507-523,0.17673
CNNVD-202507-522,0.70054
CNNVD-202507-521,0.1860526
CNNVD-202507-520,0.1779609
CNNVD-202507-519,0.1861301
CNNVD-202507-518,0.1755968
CNNVD-202507-517,0.1860067
CNNVD-202507-516,0.1888221
CNNVD-202507-515,0.1764772
CNNVD-202507-514,0.1860498
CNNVD-202507-513,0.1876253
CNNVD-202507-512,0.187631
CNNVD-202507-511,0.1892411
CNNVD-202507-510,0.3347243
CNNVD-202507-509,0.6578571
CNNVD-202507-508,0.3347243
CNNVD-202507-507,0.1892899
CNNVD-202507-506,0.170674
CNNVD-202507-505,0.170674
CNNVD-202507-504,0.53331
CNNVD-202507-503,0.1911897
CNNVD-202507-502,0.1910721
CNNVD-202507-501,0.1892726
CNNVD-202507-500,0.1719529
CNNVD-202507-499,0.1903986
CNNVD-202507-498,0.1718726
CNNVD-202507-497,0.173546
CNNVD-202507-496,0.1722812
CNNVD-202507-495,0.1892525
CNNVD-202507-494,0.1892525
CNNVD-202507-493,0.1903182
CNNVD-202507-492,0.1718626
CNNVD-202507-491,0.1924898
CNNVD-202507-490,0.1921326
CNNVD-202507-489,0.1924898
CNNVD-202507-488,0.1916633
CNNVD-202507-487,0.1902924
CNNVD-202507-486,0.1910864
CNNVD-202507-485,0.1892525
CNNVD-202507-484,0.192782
CNNVD-202507-483,0.192782
CNNVD-202507-482,0.1924898
CNNVD-202507-481,0.192782
CNNVD-202507-480,0.1910864
CNNVD-202507-479,0.192782
CNNVD-202507-478,0.1924898
CNNVD-202507-477,0.1916633
CNNVD-202507-476,0.1903182
CNNVD-202507-475,0.1892525
CNNVD-202507-474,0.1892525
CNNVD-202507-473,0.1910864
CNNVD-202507-472,0.1892525
CNNVD-202507-471,0.1924898
CNNVD-202507-470,0.1916633
CNNVD-202507-469,0.1910864
CNNVD-202507-468,0.1916633
CNNVD-202507-467,0.1903182
CNNVD-202507-466,0.1892525
CNNVD-202507-465,0.1910864
CNNVD-202507-464,0.1903182
CNNVD-202507-463,0.1921326
CNNVD-202507-462,0.1910864
CNNVD-202507-461,0.192782
CNNVD-202507-460,0.1903182
CNNVD-202507-459,0.1903182
CNNVD-202507-458,0.1924898
CNNVD-202507-457,0.1916633
CNNVD-202507-456,0.1903182
CNNVD-202507-455,0.192782
CNNVD-202507-454,0.1916633
CNNVD-202507-453,0.192782
CNNVD-202507-452,0.192782
CNNVD-202507-451,0.192782
CNNVD-202507-450,0.1910864
CNNVD-202507-449,0.1903182
CNNVD-202507-448,0.1892525
CNNVD-202507-447,0.1916633
CNNVD-202507-446,0.3377809
CNNVD-202507-445,0.1916633
CNNVD-202507-444,0.3361312
CNNVD-202507-443,0.192782
CNNVD-202507-442,0.192782
CNNVD-202507-441,0.1921326
